Gene;Maximum likelihood (kon, koff, ksyn);Burst frequency from Profile Likelihood (estimate, and lower and upper confidene interval);Burst size from Profile Likelihood(point estimate, and confidene interval);Mean expression
Fxr1;[ 0.37105217  1.31731091 19.74497503];[0.37105217 0.28310316 0.48510451];[14.98884949 10.37885848 21.51193722];4.34
Dnajc19;[  1.70304794 184.99581561 658.21255151];[1.70304794 1.42735615 2.04436792];[3.55798616 2.91974358 4.34328759];6.0
Dcun1d1;[  0.58366715  64.38278524 148.5429819 ];[0.58366715 0.44504485 0.76987354];[2.30718478 1.68235501 3.19354375];1.33
Mccc1;[0.30815855 1.89222942 6.42529757];[0.30815855 0.19902016 0.47990544];[3.39562291 1.88998557 5.91145092];0.9
Acad9;[0.33405321 1.16568471 4.62858863];[0.33405321 0.16242375 0.58126811];[3.97070374 1.86488967 9.93631971];1.03
Anxa5;[  1.68240323  47.53258285 569.89523511];[1.51416291 1.27855681 1.85150577];[11.98957012 10.27021448 14.08769839];19.48
1810062G17Rik;[0.01465589 1.32242424 3.67570805];[5.20417043e-18            nan            nan];[2.77952259        nan        nan];0.04
Exosc9;[7.02313712e-01 4.25566209e+02 9.99135968e+02];[0.70231371 0.73927886 0.91025229];[2.34778032 1.75105047 3.08999269];1.65
Ccna2;[ 0.09717876  0.99120359 18.3661595 ];[0.09717876 0.07403731 0.12655401];[18.52914946 12.91683245 26.58825434];1.64
4932438A13Rik;[  0.56440126 167.00882007 177.35533338];[0.59262132 0.40852161 0.8543354 ];[1.03009334 0.67889076 1.52999293];0.6
Spata5;[0.60235774 5.86488067 6.7564467 ];[0.60235774 0.29300299 1.06904941];[1.15201776 0.57506511 3.04944552];0.63
Ankrd50;[  0.85949846 245.85538011 267.46086887];[0.85949846 0.61777981 1.17121956];[1.12051522 0.78182659 1.58131775];0.93
Fat4;[ 0.4260976  25.34365644 74.82531314];[0.4260976  0.33235672 0.55756832];[2.95242769 2.1931365  4.02740243];1.24
Intu;[2.97056944e-01 3.97135195e+02 4.66868898e+02];[0.31190979 0.23581201 0.43459874];[1.10505634 0.66372379 1.77150868];0.35
Hspa4l;[  0.41611563  57.81219769 175.86788865];[0.41611563 0.32140513 0.54457392];[3.04205506 2.21773848 4.21994715];1.26
Plk4;[0.1216274  3.2355871  9.23942665];[0.1216274  0.06263811 0.20398451];[2.85556418 1.58682693 6.12214082];0.33
Mfsd8;[0.2691703  0.73437156 4.47680683];[0.2691703  0.13134953 0.46300415];[ 6.09610596  2.95333311 14.84564192];1.2
Larp1b;[  0.36148575  81.39213637 130.16763262];[0.39763432 0.25341711 0.51933184];[1.59926546 1.07202681 2.37998017];0.58
Pgrmc2;[0.46455097 0.89604188 7.32264668];[0.46455097 0.33627242 0.64156184];[ 8.17221477  5.19235905 12.71297477];2.5
Sclt1;[0.27380316 6.48508394 7.88201941];[0.27380316 0.09616366 0.48526358];[1.21540746 0.62326944 4.20590434];0.32
D3Ertd751e;[ 0.09597581  7.32093817 11.96776982];[0.1007746  0.06098265 0.1806589 ];[1.53664781 0.78848251 3.04883987];0.15
Pcdh18;[ 0.2943218   3.37777359 24.42816437];[0.2943218  0.22922466 0.38537992];[ 7.23203131  4.85613782 10.19816049];1.96
Slc7a11;[1.18762858e-01 2.14679362e+02 3.25931969e+02];[0.11876286 0.07207067 0.18162614];[1.51822684 0.80317551 2.98382306];0.18
Ccrn4l;[0.43914277 2.42214494 7.07950699];[0.43914277 0.28634068 0.68882205];[2.9228255  1.60921767 5.16253863];1.09
Elf2;[0.23401904 0.69958101 2.58219692];[5.55111512e-17            nan            nan];[3.69106207        nan        nan];0.65
Ndufc1;[  3.45766973  34.39614981 160.59057956];[3.45766973 2.60536447 4.4480985 ];[4.66885336 3.38994633 7.52654102];14.67
Naa15;[ 0.5532092   4.68146404 22.46691003];[0.5532092  0.42354396 0.74421082];[4.7991205  3.25150303 6.92484081];2.37
Setd7;[  0.79174201 116.54820945 174.34922809];[0.79174201 0.60411655 1.0761355 ];[1.49594085 1.07588881 2.04287613];1.18
Mgst2;[ 0.88958006 43.70817958 67.85574475];[0.93405907 0.65249118 1.19869594];[1.55247245 1.10447361 2.07886785];1.35
