Gene;Maximum likelihood (kon, koff, ksyn);Burst frequency from Profile Likelihood (estimate, and lower and upper confidene interval);Burst size from Profile Likelihood(point estimate, and confidene interval);Mean expression
Mrpl15;[ 0.54609932  1.6649324  15.15995702];[0.54609932 0.42703341 0.69778132];[ 9.10544899  6.42688831 12.84962689];3.74
Atp6v1h;[  1.60107261 169.11638177 204.96024996];[1.8412335  1.39260819 2.42487141];[1.06651418 0.782405   1.39560635];1.92
Rb1cc1;[6.07456602e-01 2.31264718e+02 8.65978559e+02];[0.6074566  0.50266834 0.73741137];[3.74453383 2.94191463 4.81069443];2.27
Fam150a;[ 0.39790162  5.47708122 25.39626359];[0.39790162 0.302285   0.52801192];[4.63682436 3.14648069 6.76975803];1.72
Rrs1;[  0.69238146 275.85816276 454.98897124];[0.69238146 0.55151695 0.90797687];[1.64935838 1.21960314 2.22856443];1.14
Mybl1;[0.11940553 3.08246847 3.17197595];[0.00597028        nan        nan];[1.0290376       nan       nan];0.12
Vcpip1;[ 0.35385023 42.37872308 62.82652816];[0.35385023 0.24491725 0.52668591];[1.48250168 0.94726493 2.31929936];0.52
Sgk3;[ 0.12595725 29.56820419 52.33645451];[0.12595725 0.08122307 0.2048419 ];[1.71692405 0.9942293  3.1171867 ];0.22
Cops5;[ 1.24765346  5.40875812 46.49316018];[1.24765346 1.016463   1.55427295];[ 8.59590301  6.09877025 11.69612783];8.71
Arfgef1;[0.12783808 0.41150231 3.96356917];[0.12783808 0.06330876 0.2100998 ];[ 9.63194883  5.30939858 21.35530193];0.94
Cpa6;[0.19301401 3.31136122 9.91334539];[0.19301401 0.12455064 0.30520831];[2.99373724 1.71099515 5.13625262];0.55
Prex2;[0.00820038 0.82005358 2.31259579];[0.00041002        nan        nan];[2.82005451        nan        nan];0.02
Sulf1;[  0.90671055 110.42471815 223.50801498];[0.9973816  0.78555142 1.28890914];[1.8419091  1.4467613  2.40994161];1.82
Ncoa2;[0.18011452 2.36606588 4.04235514];[0.18011452 0.04918116 0.36880175];[1.70847108        nan        nan];0.29
Tram1;[  1.94882315 239.73379215 563.98107239];[1.94882315 1.61844806 2.37098028];[2.35253056 1.90538453 2.89992688];4.55
Lactb2;[ 0.81666104 12.9422476  16.46363437];[0.81666104 0.46650013 1.23695252];[1.27208464 0.7980176  2.84813838];0.98
Terf1;[  0.59040309 139.70911083 146.74231555];[0.59040309 0.42826394 0.85920119];[1.05034178 0.70542414 1.51899841];0.62
Ube2w;[9.71014402e-01 4.99070941e+02 1.46247094e+03];[0.9710144  0.82175616 1.19860536];[2.93038689 2.30242927 3.64150261];2.84
Tmem70;[  0.98595813 158.50827239 382.94093868];[0.98595813 0.80678273 1.22955651];[2.41590507 1.90041097 3.05399899];2.37
Pi15;[  0.52795968 131.53504791 414.25760655];[0.52795968 0.42029677 0.65018337];[3.24389082 2.46364583 4.20825066];1.66
Mcm3;[ 0.26865194  6.5693403  44.69305991];[0.26865194 0.21225203 0.34559115];[6.80327976 4.73987995 9.34024432];1.76
Kcnq5;[0.01380081 0.72623806 1.03408713];[0.00069004        nan        nan];[2.27823286        nan        nan];0.02
Ogfrl1;[0.15167005 2.38270302 6.7059426 ];[0.15167005 0.08787746 0.26395831];[2.81442654 1.46253275 5.36182424];0.4
Smap1;[ 0.46148946  9.51275706 76.53434078];[0.46148946 0.36931381 0.57950173];[ 8.04544258  6.28813387 10.4733053 ];3.54
1110058L19Rik;[ 0.9079193   2.59232401 16.97158221];[0.9079193  0.69724219 1.19415175];[6.54685993 4.28154747 9.7496634 ];4.4
Fam135a;[ 0.22088347  6.72348731 13.20597626];[0.22088347 0.12209002 0.36102025];[1.96415575 1.11037972 4.04779289];0.42
Lmbrd1;[0.54335007 3.75023443 9.90769395];[0.54335007 0.37100014 0.83672811];[2.64188656 1.54109332 4.44383504];1.25
Phf3;[0.16041054 0.38977191 7.29224854];[0.16041054 0.07394171 0.30406219];[18.70901492  8.02445055 47.67545082];2.13
Prim2;[ 0.56327734 63.36807296 76.35041555];[0.56327734 0.41070833 0.80475915];[1.20487198 0.8231773  1.73982997];0.67
Bag2;[  0.93188782 141.33699552 733.98078246];[0.93188782 0.79030931 1.10392688];[5.19312569 4.27237473 6.33573671];4.81
Zfp451;[ 0.18577656  9.07667803 12.0113349 ];[0.18577656 0.06126481 0.33554009];[1.32331838 0.66848916 4.67494309];0.24
Dst;[ 1.42217757 11.30827167 49.6957706 ];[1.49328645 1.13683785 1.90397925];[4.13096057 2.99246366 6.1966436 ];5.55
Ccdc115;[2.73794704e-01 7.86131244e+01 2.74883832e+02];[0.26010497 0.20979968 0.33794967];[3.70646586 2.68319281 5.32690263];0.95
Imp4;[  0.72938104  62.39673566 206.71076262];[0.65644294 0.50992384 0.87657511];[3.31284578 2.61621921 4.2240688 ];2.39
Arhgef4;[0.03747694 1.0393492  1.9435335 ];[0.00187385        nan        nan];[1.86995236        nan        nan];0.07
Fam168b;[ 0.48625351 12.63575139 68.63795828];[0.48625351 0.38346098 0.61164199];[5.43204406 4.27585159 7.54779992];2.54
Plekhb2;[ 0.65092016  1.04557201 18.64904125];[0.65092016 0.50382809 0.83473482];[17.83620932 12.52184034 25.59673075];7.16
Hs6st1;[  0.61128398 172.04209482 458.80801147];[0.64184818 0.51387426 0.78853035];[2.58683069 1.97441896 3.34197657];1.62
Uggt1;[ 0.50122713  1.29299871 12.46344907];[0.50122713 0.3919338  0.64530659];[ 9.63918139  6.72359211 13.52556489];3.48
Arid5a;[0.03804735 5.22133964 8.25343778];[0.00190237        nan        nan];[1.58071268        nan        nan];0.06
Ankrd39;[0.14325438 1.84653943 4.52739022];[0.14325438 0.05518197 0.2708015 ];[2.45182429 1.16867637 7.14851074];0.33
Sema4c;[4.10270454e-02 1.28610787e+02 5.03839997e+02];[0.0471811  0.03168772 0.06985624];[1.80207589 0.82680504 4.21591651];0.16
Actr1b;[ 1.00411962  6.83351905 24.03527311];[1.00411962 0.74964144 1.38538397];[3.51726145 2.21784512 5.48102985];3.08
Tmem131;[0.41999735 0.73254287 2.25375692];[0.41999735 0.07578097 0.97189761];[3.07662119        nan        nan];0.82
Chst10;[ 0.05704549 10.98779841 22.60311541];[0.05704549 0.03274106 0.08328285];[2.05711049 0.95484917 4.61613229];0.12
Pdcl3;[   1.85550179  393.25796578 1366.66186656];[1.94827688 1.61520862 2.29782109];[3.26671617 2.73249618 4.01376342];6.42
Rnf149;[ 0.59485713  4.41341183 20.06884896];[0.59485713 0.44609688 0.80172624];[4.5472414  3.06886014 6.86223556];2.38
Map4k4;[  0.8038376   60.0747014  220.16186205];[0.8038376  0.66766103 0.98836237];[3.6648016  2.93516817 4.60929174];2.91
Il1r1;[  1.09165696  87.3950432  195.38570081];[1.09165696 0.89345636 1.357144  ];[2.23566113 1.77383176 2.81534846];2.41
Il1rl1;[3.90446932e-01 8.36988894e+01 2.32156770e+03];[0.39044693 0.33013598 0.45007937];[29.401367   23.07720847 36.99467066];10.78
Mfsd9;[0.07305627 1.24358031 1.69035383];[0.00365281        nan        nan];[1.3592639       nan       nan];0.09
Mrps9;[ 0.51627207  1.9230841  15.23034302];[0.51627207 0.40380803 0.66290859];[ 7.91974882  5.5803323  11.07889241];3.22
Tgfbrap1;[  0.2948881  102.19395915 139.61820024];[0.2948881  0.20485497 0.44497127];[1.32522172 0.84820236 2.12556428];0.4
Fhl2;[ 0.81709669 12.59733244 71.29967819];[0.81709669 0.65760308 1.02586144];[5.65990288 4.25782584 7.70699324];4.34
Tpp2;[0.94221641 3.34762586 8.75949338];[0.94221641 0.6185254  1.53934255];[2.61662854 1.24320392 4.90729073];1.92
Kdelc1;[0.74152723 3.237711   9.51395917];[0.74152723 0.50494216 1.14032708];[2.93848314 1.6055304  5.1217254 ];1.77
Ercc5;[  0.48587057  67.46311598 300.00282341];[0.48587057 0.40135643 0.59680937];[4.4469162  3.46318094 5.71095974];2.15
Gulp1;[0.16389613 0.81086118 1.08142376];[2.77555756e-17            nan            nan];[1.33367312        nan        nan];0.18
Col3a1;[  0.48295405   5.37236371 169.06289248];[0.43465865        nan        nan];[36.18934549 29.44324842 46.471521  ];13.94
Col5a2;[   2.03958145   39.87789768 1080.35704764];[2.03958145 1.76677359 2.96338046];[27.09162495 23.6278045  31.49132628];52.57
Slc39a10;[  0.75330734 113.58085792 125.36742821];[0.75330734 0.55995505 1.10501929];[1.07065933 0.747965   1.55340719];0.83
Sdpr;[ 0.28482746 12.07214422 87.70100865];[0.27058609 0.21653194 0.35270856];[7.26474163 5.55862016 9.68455284];2.02
Myo1b;[  0.36647007  62.2613043  155.91534677];[0.36647007 0.28711478 0.4870702 ];[2.42908317 1.78209134 3.38406051];0.91
Stat1;[  0.63474382  71.65780294 100.65153753];[0.63474382 0.42053794 0.8729237 ];[1.40461378 0.9705869  1.94618827];0.88
Nab1;[  0.7268133  266.19171206 330.31917283];[0.76315397 0.56815306 1.06475714];[1.16645263 0.81403218 1.65214309];0.9
Inpp1;[2.09254780e-01 4.77107603e+02 9.41203565e+02];[0.20925478 0.17091931 0.26242173];[1.79518255 1.14298018 2.8001097 ];0.41
Pms1;[0.12604664 6.94528368 8.05071846];[0.00630233        nan        nan];[1.15916337        nan        nan];0.14
Ormdl1;[2.24272837e-01 9.63276453e+01 2.30003302e+02];[0.23548648 0.16619573 0.31719049];[2.31608696 1.55481976 3.46005859];0.53
Asnsd1;[ 0.64457244  4.8177967  13.71045406];[0.64457244 0.38820798 0.96278384];[2.8457934  1.65125534 5.98540063];1.62
Stk17b;[0.30802982 1.97689826 9.63749268];[0.30802982 0.21640392 0.44510193];[4.87505749 2.97697304 7.6944534 ];1.3
Gtf3c3;[  0.56894476 181.31446904 195.81996189];[0.62583924 0.43274587 0.9036323 ];[0.98280168 0.64587849 1.46739537];0.61
Sf3b1;[ 1.18880612  3.88729764 48.24692204];[1.18880612 0.97148607 1.46696709];[12.41142987  8.96225437 16.71209233];11.3
Coq10b;[0.4074793  0.76899055 5.66425773];[0.4074793  0.27063879 0.59042656];[ 7.36583532  4.42715093 12.77038715];1.96
Hspe1;[1.39333180e+00 2.49265637e+02 3.05783373e+03];[1.3933318       nan       nan];[11.89934865 10.32215923 14.17080459];17.0
Rftn2;[5.71474347e-01 5.71898189e+02 9.79516134e+02];[0.57147435        nan        nan];[1.66136328 1.20354139 2.31511165];0.98
Mars2;[0.13295959 0.38236082 1.14123033];[0.00664798        nan        nan];[2.98469473        nan        nan];0.29
9430016H08Rik;[0.40777171 1.0013841  6.20212512];[0.40777171 0.24442052 0.64815377];[ 6.1935526   3.20243669 12.37795227];1.79
Kctd18;[0.15462748 3.60795623 7.80999546];[0.15462748 0.08255552 0.26755476];[2.16465915 1.11215103 4.51718376];0.32
Sgol2;[0.0951305  1.3096576  5.36849552];[0.0951305  0.04753539 0.16437185];[4.09915961 2.13900314 8.90236015];0.36
Bzw1;[ 1.17110473 14.07845023 79.04783515];[1.17110473 0.92395683 1.48537834];[5.61481085 4.12837593 7.96622919];6.07
Clk1;[7.27095084e-01 4.45353537e+02 8.18309903e+02];[0.76344984 0.60162164 0.96916705];[1.78231571 1.31973083 2.33736907];1.33
Ppil3;[0.33866728 0.60133448 6.60073836];[0.33866728 0.24052427 0.46682862];[10.97681668  7.13974613 17.19858447];2.38
Orc2;[ 0.5537062   3.88213538 19.09912853];[0.5537062  0.42377441 0.74075605];[4.91974819 3.2577914  7.12061855];2.38
Ndufb3;[ 2.60341372 43.28674085 69.96298886];[2.73358441 1.90823861 3.49049681];[1.47080419 1.14195146 2.68713729];3.97
Cflar;[  0.68257131  75.17622578 136.60388088];[0.68257131 0.53428887 0.90879937];[1.81711544 1.34258813 2.42093315];1.23
Casp8;[ 0.94366407 25.66796487 40.83276497];[0.99084727 0.68897062 1.28913204];[1.4953581  1.11910449 2.49071605];1.45
Trak2;[0.44462626 1.95443645 3.95863938];[0.44462626 0.17747458 0.88347565];[2.02546334 0.82789078 6.62090688];0.73
Stradb;[ 0.21639228 25.51250402 33.98134711];[0.2272119  0.13751362 0.35788557];[1.33194872 0.76529172 2.32847327];0.29
Cdk15;[0.04146076 2.70801963 4.14730479];[0.00207304        nan        nan];[1.53148993        nan        nan];0.06
Fzd7;[ 0.27527687  1.98679184 22.49358383];[0.27527687 0.21312364 0.35573186];[11.32156039  8.00981128 15.86370882];2.74
Nop58;[ 0.97221681 13.41227439 76.19776998];[0.97221681 0.74635614 1.2224881 ];[5.68119677 4.25788522 8.45169366];5.15
Bmpr2;[0.23221184 0.42911572 6.31892287];[0.23221184 0.14463677 0.34503827];[14.72545178  8.82802659 26.64938836];2.22
Fam117b;[0.25166197 5.04787464 5.66387565];[0.25166197 0.07237509 0.49428427];[1.12203176        nan        nan];0.27
Ica1l;[0.13574033 1.30959947 1.95029666];[0.00678702        nan        nan];[1.48923141        nan        nan];0.18
Wdr12;[  0.80357655 119.2922728  270.91000312];[0.80357655 0.64390107 1.01490493];[2.27097696 1.76625455 2.94680776];1.81
Nbeal1;[  0.61256592 315.99186024 353.52087441];[0.64319422 0.47846553 0.90496848];[1.08520279 0.73043057 1.58772181];0.68
Raph1;[0.31839398 1.04875684 5.98380883];[0.31839398 0.21504182 0.46502141];[5.70562078 3.44877871 9.4462396 ];1.39
Nrp2;[ 0.35236995  1.93743591 20.59617665];[0.35236995 0.28339651 0.43962704];[10.63063634  7.85805046 14.2305357 ];3.17
Ino80d;[  0.6365859  144.70452045 190.97772608];[0.6365859  0.46928149 0.8698894 ];[1.31977719 0.93739272 1.88100685];0.84
Ndufs1;[0.54390808 1.05405512 8.57028365];[0.54390808 0.39595371 0.74076741];[ 8.13077368  5.22677588 12.73044644];2.92
Eef1b2;[ 0.17436356  0.9062608  86.93093297];[0.17436356 0.12452705 0.23910393];[ 95.92264464  64.78365529 145.1088348 ];14.03
Adam23;[ 0.27835923 27.83017817 77.85916312];[0.27835923 0.20791333 0.37513314];[2.79765234 1.95430444 4.08050895];0.77
Klf7;[0.10763493 0.41082488 3.77240313];[0.10763493 0.04978453 0.18172245];[ 9.182509    4.95588603 21.61417759];0.78
Creb1;[0.1720963  0.51947371 2.37970733];[2.77555756e-17            nan            nan];[4.58099668        nan        nan];0.59
Mettl21a;[ 0.74982115 36.72942017 44.03185883];[0.78731221 0.65554376 1.07402503];[1.05495909 0.79818349 1.79365985];0.88
2810408I11Rik;[ 0.07096655  3.25003996 13.14546674];[0.07096655 0.04148572 0.11815011];[4.04470926 2.20918886 7.82087128];0.28
Fzd5;[0.13848353 2.83687298 5.94935025];[0.13848353 0.06339663 0.25322382];[2.09715074 1.05011411 5.08674731];0.28
Acadl;[ 0.85840165 12.57117024 40.50771575];[0.90132173 0.66362863 1.13335436];[2.9322665  2.23788724 4.67610706];2.59
Lancl1;[  0.73461992  75.37717283 107.79550036];[0.73461992 0.55165025 0.98809303];[1.4300815  1.04198046 1.99179577];1.04
Atic;[  1.08046082 150.28707409 453.08038223];[1.08046082 0.90036514 1.3144374 ];[3.01476614 2.41636228 3.73845286];3.23
Fn1;[1.20089825e+00 2.77584588e+01 1.26456015e+03];[1.20089825        nan        nan];[46.92252412 40.22723271 54.21759358];52.44
Pecr;[0.11460898 0.82016783 3.51302076];[1.38777878e-17            nan            nan];[4.283295      nan      nan];0.43
Xrcc5;[ 0.37684869  1.45862353 11.50660079];[0.37684869 0.29314877 0.48730967];[ 7.88867076  5.54228486 11.01915033];2.36
Igfbp2;[3.47154698e-02 1.74115674e+00 1.57934621e+02];[0.03471547 0.02609535 0.0469674 ];[ 90.70672254  58.57734199 146.97025135];3.09
Tns1;[  0.81309667  19.73846023 122.2342398 ];[0.731787   0.60880058 0.9226508 ];[6.19269378 5.08377873 7.60005742];4.84
Arpc2;[ 0.4420279   1.1030383  41.93403861];[0.4420279  0.28491889 0.64100327];[38.01684729 23.62782482 69.96998563];12.0
Aamp;[  0.92524561   9.61793143 124.44316774];[0.92524561 0.77796221 1.11549927];[12.9386624  10.20280953 16.61322388];10.92
Tmbim1;[  1.12682151 237.46824674 533.80399406];[1.12682151 0.9205579  1.39022481];[2.2478963 1.7803461 2.836094 ];2.52
Zfp142;[0.22046648 1.40693116 3.98765527];[0.22046648 0.10504266 0.39671127];[2.83429309 1.36068139 6.81795693];0.54
Bcs1l;[0.68658132 5.35800656 8.8479845 ];[0.68658132 0.41555248 1.11206503];[1.65135754 0.87951939 3.33139665];1.01
Rnf25;[ 0.54569898 42.5649455  67.49986103];[0.54569898 0.41206966 0.75053153];[1.5858087  1.12464969 2.20763073];0.85
Ttll4;[ 0.09535763 10.19626677 28.05122284];[0.10012551 0.0712305  0.12695869];[2.33845779 1.51673635 4.72544808];0.26
Zfand2b;[ 0.32702065 13.69489301 42.2236573 ];[0.34337168 0.26889491 0.43594222];[3.0831681  2.04671285 4.23812248];0.98
Abcb6;[  0.40642018 154.02950109 228.34653268];[0.40642018 0.31167456 0.57331671];[1.4824857  1.01002839 2.14420423];0.6
Atg9a;[  0.72387701 163.56120245 177.83074715];[0.72387701 0.52834845 1.02531166];[1.08724285 0.74834804 1.55610253];0.78
Stk16;[ 1.04727016  9.74969035 25.54868549];[1.09963367 0.77830437 1.46391082];[2.46323355 1.69879189 4.09882275];2.48
Dnajb2;[0.35561377 0.98869786 4.94389576];[0.35561377 0.21621791 0.55244731];[5.00041111 2.75598278 9.55250399];1.31
Ptprn;[  0.70048065 105.36853284 318.52003152];[0.73550468 0.58687381 0.89520412];[2.93222675 2.26460199 3.70828359];2.1
Dnpep;[1.51441778e+00 4.75179116e+02 3.14190227e+03];[1.51441778        nan        nan];[6.6120378  5.54805146 7.78824106];9.98
Speg;[ 0.42410555  9.08377178 33.2111257 ];[0.42410555 0.31413146 0.56092985];[3.65609424 2.54748929 5.50858349];1.48
Gmppa;[ 1.14437851  8.35358111 41.01851217];[1.14437851 0.89328317 1.50927951];[4.91029076 3.33596989 7.12761856];4.94
Chpf;[  1.50384359  28.1557325  286.16636794];[1.35345923 1.1193965  1.58235077];[10.16369821  8.63874479 12.03222021];14.51
Obsl1;[0.28311588 3.07832445 4.8654694 ];[0.28311588 0.08724035 0.53279634];[1.5805577       nan       nan];0.41
Slc4a3;[0.13064904 1.45284952 1.75568272];[0.00653245        nan        nan];[1.20844086        nan        nan];0.14
Epha4;[  0.11109712  45.90110158 108.78322508];[0.11109712 0.0746569  0.17158962];[2.36994803 1.39288329 4.19216292];0.26
Pax3;[0.01769965 1.51657354 5.05864646];[3.46944695e-18            nan            nan];[3.3355761       nan       nan];0.06
Farsb;[ 0.83503065  3.37236729 23.29993251];[0.83503065 0.65669005 1.0683018 ];[6.90907322 4.79542202 9.80021325];4.62
Acsl3;[  0.42732075 145.95569025 210.28242956];[0.42732075 0.31080976 0.60140932];[1.44072786 0.97979443 2.11585599];0.61
Wdfy1;[ 0.97884521  3.36937503 19.59319757];[0.97884521 0.75885203 1.29771688];[5.81508363 3.70283557 8.51470576];4.41
Mrpl44;[0.51072142 3.55409414 7.21960265];[0.51072142 0.29684344 0.84907518];[2.03134818 1.05428265 4.22223456];0.91
Serpine2;[2.97693533e-01 2.06884132e+02 3.11313397e+03];[0.29769353        nan        nan];[14.59628595 11.43276955 18.47928888];4.47
Cul3;[0.11998712 0.33064604 9.01572267];[0.11998712 0.07022971 0.18951026];[27.26699149 15.39383475 51.57660194];2.4
Irs1;[ 0.39322991 24.02938682 91.11417   ];[0.39322991 0.3151486  0.50262033];[3.7917809  2.88281735 5.05413698];1.47
Mff;[ 0.95217299  4.14764519 11.17800913];[0.95217299 0.64487979 1.48539823];[2.6950254  1.39777507 4.82525333];2.09
Agfg1;[0.88371653 2.17490747 6.99308595];[0.88371653 0.58455893 1.40867483];[3.21534873 1.5576302  5.93161484];2.02
Ccl20;[4.23491833e-03 6.43263612e-01 5.75230948e+01];[0.00423492 0.00187768 0.00868502];[ 89.42382822  30.68893813 293.77916023];0.38
Pid1;[ 0.279791    8.13222968 19.75240756];[0.29378055 0.18983079 0.41479193];[2.13743577 1.5134607  3.98953362];0.66
Trip12;[  1.10361542 143.96484653 456.49234549];[1.04843465 0.83692894 1.2617067 ];[3.45623719 2.77829269 4.43334264];3.47
Fbxo36;[ 0.15969599 43.68341575 76.75413184];[0.16768079 0.10927118 0.25459634];[1.65163101 1.00754622 2.85459067];0.28
Cab39;[0.50728465 2.22926008 6.53871402];[0.50728465 0.30308653 0.84783336];[2.93313197 1.45294349 5.92889228];1.21
Itm2c;[   2.01865936  310.28360968 1936.1414835 ];[2.01865936 1.73020956 2.35545755];[6.23990898 5.29108245 7.39556964];12.51
Psmd1;[ 0.94895317  4.37395504 75.22498655];[0.94895317 0.80425134 1.12618691];[17.19839045 13.43170617 21.61905251];13.41
Ncl;[  0.9537021   17.86756171 426.07570416];[0.9537021  0.80872901 1.10789694];[23.84632616 20.31973049 28.21234711];21.59
C130036L24Rik;[0.01390645 0.43209918 1.31871513];[1.73472348e-18            nan            nan];[3.05188068        nan        nan];0.04
Cops7b;[  0.47005282 225.82791514 276.13754427];[0.49355546 0.35141101 0.72948092];[1.14941189 0.74909219 1.75511781];0.57
Eif4e2;[ 0.68806739  6.0618543  60.57274345];[0.68806739 0.57003709 0.84305762];[ 9.99244463  7.66823736 13.03349565];6.17
Efhd1;[1.12274151e-01 7.03979728e+01 1.47681122e+02];[0.11227415 0.07289704 0.17179156];[2.09780362 1.24813833 3.79525819];0.24
Gigyf2;[0.30823676 0.83690434 4.49260155];[0.30823676 0.18126699 0.48671644];[ 5.36811835  2.93217875 10.52702722];1.21
Atg16l1;[  0.69865891 184.7730437  345.53350558];[0.69865891 0.53837016 0.91363276];[1.81394155 1.33728033 2.44751502];1.3
Dgkd;[0.29703347 4.4571107  6.5377761 ];[0.29703347 0.05376583 0.54519355];[1.46681933        nan        nan];0.41
Usp40;[ 0.38081084  6.88671442 12.19680168];[0.38081084 0.22861249 0.58221047];[1.7710625  1.04947833 3.41753363];0.64
Ugt1a7c;[  0.24496997  82.0047421  129.98862895];[0.24496997 0.17615563 0.35997908];[1.58513551 1.01415471 2.47498577];0.39
Arl4c;[  0.49775584  25.76747701 130.71238209];[0.49775584 0.3796765  0.61314101];[5.07276603 3.97368352 6.56527164];2.48
Cops8;[0.30115957 0.37084035 6.19760632];[0.30115957 0.19644883 0.44097019];[16.71233018  9.93625445 29.23890416];2.78
Col6a3;[ 0.34053854  1.93378971 36.99426736];[0.34053854 0.28443138 0.40895376];[19.13045003 14.81197243 24.67573629];5.54
Lrrfip1;[ 1.30665136  7.68590188 67.19937536];[1.30665136 1.06933501 1.62979131];[ 8.74319975  6.35696666 11.85526518];9.76
Ramp1;[ 0.06052851  3.66150227 34.39574628];[0.06052851 0.04109431 0.08607727];[ 9.39388912  5.923665   16.11275344];0.56
Ube2f;[ 1.02319714  3.58081229 12.85992513];[1.02319714 0.72898665 1.52256626];[3.59134299 1.91984821 5.98129928];2.86
Ilkap;[0.28419201 0.85266989 4.74976619];[0.28419201 0.16964005 0.44321417];[ 5.57046317  3.1067882  10.66349464];1.19
Asb1;[  0.3240356  165.08172177 233.38481515];[0.3240356  0.24215064 0.49103094];[1.37134062 0.88119947 2.12950616];0.46
Twist2;[ 0.77054146 15.28429911 33.04360145];[0.77054146 0.5293923  1.04909401];[2.16193109 1.4871819  3.73272325];1.59
Hdac4;[1.33834519e-01 1.75706375e+02 4.69663084e+02];[0.20075178 0.12283927 0.25315875];[1.79090979 1.06661701 3.18567247];0.36
Ndufa10;[  1.35733712  32.61910205 243.99684479];[1.22160341 1.00608735 1.48127203];[7.48018276 6.30009462 8.93898487];9.75
Rnpepl1;[4.54699679e-01 3.56343376e+02 5.55393413e+02];[0.45469968 0.38826673 0.5868974 ];[1.55859053 1.09480928 2.22264427];0.71
Capn10;[0.1604956  1.73510673 3.46032812];[0.00802478        nan        nan];[1.99430275        nan        nan];0.29
Kif1a;[1.48033044e-01 3.17267864e+01 2.30958139e+02];[0.14803304 0.11493809 0.19053722];[ 7.27959449  5.17124887 10.6690703 ];1.07
Ppp1r7;[0.44587691 1.65754268 6.22341129];[0.44587691 0.27707928 0.7068141 ];[3.75460092 1.95789853 7.12841488];1.32
Hdlbp;[  1.78602603  77.99005481 526.73214662];[1.78602603 1.4124444  2.11842055];[6.75383737 5.7169007  8.02196463];11.79
Farp2;[ 0.23534955  2.79230638 12.25368021];[0.23534955 0.15849099 0.35692725];[4.38837238 2.64900884 7.2812656 ];0.95
Stk25;[  1.19297965 166.15350331 339.95040497];[1.19297965 0.97586782 1.52731694];[1.98462197 1.56482339 2.5634088 ];2.42
Bok;[  0.48483112  51.53325094 182.74798997];[0.48483112 0.3953185  0.57843485];[3.54621505 2.75497037 4.5977242 ];1.7
Dtymk;[  0.84092523  37.9351792  352.28445341];[0.84092523 0.71388589 0.99349776];[ 9.28648449  7.66455467 11.35336927];7.64
Fam174a;[ 0.72677515  9.41289653 18.31405946];[0.72677515 0.48617663 1.04405144];[1.94563484 1.23274827 3.44180231];1.31
D1Ertd622e;[ 0.3727442  52.45772285 97.78172755];[0.39138141 0.28115923 0.52082762];[1.80808984 1.27479917 2.63930356];0.69
Gin1;[ 0.09422619 15.73949899 25.75650971];[0.09422619 0.03164513 0.1713725 ];[1.636425   0.83789418 3.31198587];0.15
Pam;[  0.83324864 139.05505113 347.75472837];[0.83324864 0.66983559 1.04398965];[2.50084212 1.93932159 3.23693215];2.07
Pign;[0.13479381 0.37021725 2.6839541 ];[2.77555756e-17            nan            nan];[7.24967319        nan        nan];0.72
Bcl2;[2.45960758e-01 2.56608259e+02 2.96605988e+02];[0.24596076 0.33715855 0.38273083];[1.15587078 0.69085275 1.93339304];0.28
Vps4b;[ 0.60624244 11.06058912 39.03430089];[0.60624244 0.45226241 0.78915187];[3.52913398 2.59608762 5.34534283];2.03
Serpinb8;[ 0.03800487  3.11820637 17.06625613];[0.03800487 0.02069405 0.0643904 ];[ 5.47310028  2.71169072 11.75704136];0.21
Tsn;[ 1.67612665  9.4774312  31.63930207];[1.67612665 1.23496599 2.34772673];[3.33838373 2.01118483 5.47515252];4.75
Inhbb;[ 0.15336831  7.82404883 47.44204524];[0.14569989 0.10485618 0.19416714];[ 6.06361824  4.26842795 10.265207  ];0.91
Ralb;[  0.93417231 176.95525297 630.32217398];[1.02758954 0.83073259 1.21587102];[3.24145889 2.6079243  4.02447741];3.31
Ptpn4;[ 0.05024457 23.21773573 25.87125417];[0.05024457 0.02106533 0.13798082];[1.11428843 0.36557809 3.51836248];0.06
Tmem177;[0.1662328  0.5417218  3.54223883];[0.1662328  0.07152568 0.28764707];[ 6.53885234  3.33069651 17.23413664];0.83
Tmem37;[  0.65319915  68.56944402 416.71845713];[0.65319915 0.55010067 0.77308859];[6.07732005 4.9577741  7.55876524];3.93
Dbi;[2.65395739e+00 8.34124293e+02 4.27404895e+03];[2.78665525 2.37445354 3.2529014 ];[4.20167614        nan        nan];13.56
Insig2;[  1.23947167 252.58085684 433.36673942];[1.23947167 0.98893456 1.57507445];[1.71575449 1.32289979 2.20838176];2.12
Ccdc93;[0.7258621  5.81397978 9.33875865];[0.7258621  0.43720748 1.16156227];[1.60625923 0.87879968 3.28955978];1.04
Ddx18;[  1.17543222 100.75444712 131.50275645];[1.17543222 0.90856248 1.57587079];[1.30518067 0.96847455 1.73825873];1.52
Actr3;[ 1.55365188 19.24284604 84.01151579];[1.55365188 1.2088253  1.98632397];[4.36585709 3.18475211 6.41585957];6.28
Slc35f5;[  0.63495696 125.36385008 159.52357112];[0.6667048  0.48413868 0.91663495];[1.23431008 0.86125819 1.73072333];0.8
Gpr39;[ 0.2012939   9.80227247 16.41027749];[0.2012939  0.10254338 0.32484191];[1.67412991 0.95341012 3.73602173];0.33
