Gene;Maximum likelihood (kon, koff, ksyn);Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval);Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval);Mean expression
Smarcc2;[  0.54103595 149.37580053 356.66535816];[0.54103595 0.41533893 0.69208727];[2.38770508 1.80080301 3.22639382];1.29
Esyt1;[  0.87092711 118.66485012 360.70081931];[0.87092711 0.71969622 1.06384075];[3.03966018 2.42177021 3.83428578];2.63
Pa2g4;[ 1.04778304  7.97354427 57.70011143];[1.04778304 0.85518677 1.30784113];[7.2364446  5.23349124 9.67262611];6.7
Suox;[ 0.35076689 38.8970569  40.37334349];[0.36830524 0.23539051 0.50720854];[1.03795368 0.63520533 1.66800397];0.36
Cdk2;[  0.42395725  84.53082608 287.36378266];[0.42395725 0.3377636  0.53451665];[3.39951466 2.57342278 4.54117183];1.43
Wibg;[ 0.73205522  8.84084376 10.93950087];[0.80526074 0.42294775 1.18081679];[1.08889615 0.70117655 2.67812974];0.84
Mmp19;[ 0.55288136 53.31276221 92.919668  ];[0.55288136 0.42223561 0.75945553];[1.74291603 1.23334551 2.39728332];0.95
Dnajc14;[ 0.38708766  1.94890496 13.29055318];[0.38708766 0.26570902 0.53781553];[ 6.81949786  4.34404251 11.46371267];2.2
Sarnp;[2.08377063e-02 1.20618642e+01 8.00215842e+01];[0.01979582 0.00768242 0.04905486];[6.63426342        nan        nan];0.14
Rdh5;[ 0.06742992 23.4903837  32.69102884];[0.06742992 0.0348651  0.14114095];[1.39167709 0.60116091 3.28839585];0.09
Drg1;[ 0.93683342 16.03141718 61.69117932];[0.88999175 0.68208987 1.16098701];[4.30991971 3.00418311 6.1928845 ];3.41
Pik3ip1;[0.27714163 2.20509637 7.36542125];[0.27714163 0.1828587  0.43073835];[3.34018112 1.86412254 5.63665016];0.82
Limk2;[ 0.62308062  3.61948619 25.15361212];[0.62308062 0.49090509 0.7997724 ];[6.94949803 4.90263953 9.61776261];3.69
Rnf185;[  0.54140588 339.0387757  528.61032185];[0.54140588 0.44565707 0.76532668];[1.51236982 1.05161292 2.16913474];0.84
Selm;[  2.19943161  55.95771427 326.09302268];[2.30940319 1.80027396 2.65992384];[5.82749004 4.64707452 6.90625138];12.33
Smtn;[0.20039609 0.63637944 7.93171997];[0.20039609 0.14464221 0.27245478];[12.46382181  8.42139876 18.69051273];1.9
Morc2a;[  0.34185129  59.34106458 160.20624555];[0.35894386 0.26586135 0.47268449];[2.53776827 1.82009863 3.68829147];0.92
Slc35e4;[ 1.2726534   6.61390812 13.65288662];[1.2726534  0.82923182 1.99571349];[2.06426917 1.0979286  4.02123814];2.2
Tcn2;[ 0.88458485 15.5691709  92.81793775];[0.88458485 0.71725556 1.09198069];[5.96164936 4.69719988 8.06744809];4.99
Pes1;[  1.36333489  92.4883406  141.91721206];[1.36333489 1.07584579 1.77643726];[1.53443354 1.16875706 1.99129876];2.06
Sec14l2;[0.00890307 0.39122199 2.44554425];[3.46944695e-18            nan            nan];[6.25103988        nan        nan];0.05
Rnf215;[ 0.30078837  8.39183164 18.75409669];[0.31582779 0.20793797 0.43699339];[2.16775962 1.41266267 3.58672556];0.65
Sf3a1;[ 0.49214844 13.43805008 33.71399506];[0.46754101 0.33411232 0.66310359];[2.50884577 1.73614789 4.27338567];1.19
Tbc1d10a;[ 0.62963449  8.5488626  20.62946635];[0.66111622 0.46354062 0.89614468];[2.26833665 1.58120765 3.68570268];1.42
Mtmr3;[ 0.26384278  3.79002651 18.5531112 ];[0.26384278 0.18975018 0.35525954];[5.18896051 3.3307197  7.55538425];1.21
Uqcr10;[   3.38931412  457.53010767 1736.00545326];[3.55877982 3.00887716 4.22263276];[3.56663988 2.99840563 4.29619253];12.77
Nf2;[ 0.66918071 62.25906747 69.34495864];[0.66918071 0.48221513 0.98860925];[1.113813   0.7387328  1.61979794];0.74
Thoc5;[  0.90598995  89.37446866 114.78119514];[0.90598995 0.68820688 1.24182094];[1.28427276 0.91717995 1.75082573];1.15
Ap1b1;[ 0.53690551  7.31416817 20.12694847];[0.56375079 0.39548955 0.76007163];[2.58666893 1.77513821 4.15676208];1.38
Gas2l1;[  1.35841347 143.84473724 279.95984399];[1.15465145 0.93838929 1.46086176];[2.35497953 1.8182103  2.9832191 ];2.62
Ewsr1;[ 0.82692344  6.98025667 42.90097191];[0.82692344 0.66546836 1.04133122];[6.14604504 4.4726698  8.35755018];4.54
Xbp1;[ 1.4227651  14.03768658 43.39052913];[1.56504161 1.13545962 1.93001182];[2.53462233 2.10224952 4.35730779];3.99
Ccdc117;[0.20427578 3.89417924 4.06999112];[0.01021379        nan        nan];[1.04514735        nan        nan];0.2
Mrps24;[  1.9347567  216.5803166  489.11523893];[1.9347567  1.60190179 2.38515983];[2.25835499 1.8063751  2.7895832 ];4.33
