Gene;Maximum likelihood (kon, koff, ksyn);Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval);Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval);Mean expression
Mrpl15;[ 0.96527756  3.7820661  24.27484308];[0.96527756 0.7456611  1.2490367 ];[6.41840795 4.33647298 9.49923446];4.94
Rb1cc1;[ 1.31941251 11.54032104 50.58401156];[1.25344188 0.99181629 1.71795102];[4.64623576 3.07709907 6.81933346];5.19
Fam150a;[  0.26977031  79.1888975  138.15607521];[0.26977031 0.19457101 0.38451524];[1.74463946 1.15489124 2.63955279];0.47
Rrs1;[ 0.77148355  4.17410126 10.22770093];[0.77148355 0.52231194 1.19689312];[2.45027619 1.33742979 4.29128687];1.6
Vcpip1;[0.1924405  1.04339369 4.04271358];[0.1924405  0.08975773 0.34423714];[3.87458118 1.86918521 9.45843633];0.63
Sgk3;[0.18169659 5.49345895 9.14987606];[0.19078142 0.09101942 0.31792441];[1.51569117 0.88004491 3.73417143];0.29
Cops5;[ 1.3508855   4.73240636 44.04631441];[1.3508855  1.09730106 1.68323776];[ 9.30738214  6.5769911  12.81433204];9.78
Arfgef1;[ 0.34149714 22.33045227 76.29770649];[0.32442229 0.2268448  0.43743758];[3.41675599 2.49723497 4.75547963];1.15
Cpa6;[0.07740798 1.21223293 4.31566625];[0.07740798 0.03064636 0.15201343];[3.56009653 1.60286611 9.70969604];0.26
Prex2;[2.09183680e-02 1.82815662e+01 3.60524660e+01];[0.02091837 0.00799647 0.05819466];[1.97206659        nan        nan];0.04
Sulf1;[  0.9460799  117.18818487 181.71036801];[0.9460799  0.7356414  1.22929955];[1.55058608 1.167153   2.05467738];1.46
Ncoa2;[0.13038003 0.54230164 2.3852061 ];[0.006519      nan      nan];[4.39830148        nan        nan];0.46
Tram1;[  2.27566193 242.30485821 397.18169822];[2.27566193 1.83234214 2.8699492 ];[1.63918174 1.28862694 2.06888678];3.7
Lactb2;[ 0.48683295  2.86008798 10.66853696];[0.48683295 0.35675045 0.6960668 ];[3.73014294 2.28763918 5.68871837];1.55
Ube2w;[ 0.92337174 12.03977034 44.08794022];[0.92337174 0.70803022 1.20092076];[3.6618589  2.55967295 5.40322143];3.14
Tceb1;[  2.20275323  37.3322334  198.00319327];[2.20275323 1.72171818 2.58467182];[5.30381323 4.11232576 6.31525582];11.03
Tmem70;[  1.47238598 193.61826934 480.45838429];[1.47238598 1.22328157 1.79117   ];[2.48147236 2.00226692 3.0724172 ];3.63
Pi15;[ 0.3462687   8.39616872 16.00167168];[0.3462687  0.20996672 0.52003042];[1.90583017 1.18928084 3.61987593];0.63
Mcm3;[ 0.25636616  1.93065648 15.81129101];[0.25636616 0.20055357 0.32909674];[ 8.18959311  5.8498451  11.31413862];1.85
Tram2;[0.14678153 4.12099912 4.32905209];[2.77555756e-17            nan            nan];[1.05048605        nan        nan];0.15
Ogfrl1;[ 0.18726788  3.23766568 10.12487206];[0.18726788 0.12065981 0.29029883];[3.12721358 1.80072714 5.37363121];0.55
Smap1;[ 0.38219492  1.02062    10.50456834];[0.38219492 0.25814007 0.5378619 ];[10.29234023  6.36981735 17.72250655];2.86
1110058L19Rik;[ 1.04496725  3.74242547 17.0976909 ];[1.04496725 0.78903601 1.43458083];[4.56861226 2.77193639 6.94837287];3.73
Fam135a;[0.18337629 1.06026879 3.31664023];[0.18337629 0.05276875 0.37140123];[3.12811267        nan        nan];0.49
Lmbrd1;[ 0.73936283 13.28872538 25.644837  ];[0.66542655 0.40852966 1.00551285];[2.3350812  1.32801426 4.61380224];1.35
Phf3;[ 0.20623763  1.416087   17.64446842];[0.20623763 0.15618042 0.27061052];[12.46001724  8.73765998 17.76115381];2.24
Prim2;[ 0.32287049  3.7722858  10.25169898];[0.32287049 0.21697907 0.48715037];[2.71763581 1.62532748 4.52498665];0.81
Rab23;[  0.84266022  90.75405954 121.2375679 ];[0.84266022 0.6462086  1.14849928];[1.3358914  0.96656273 1.80514114];1.12
Bag2;[  0.76246648 106.6216777  541.81280766];[0.76246648 0.64339447 0.91756212];[5.08163836 4.14164414 6.26492823];3.85
Zfp451;[ 0.16262739  9.01103667 25.05441534];[0.16262739 0.09926304 0.24181399];[2.78041431 1.67412277 5.1663629 ];0.44
Dst;[ 1.24201663  4.04704914 24.8521321 ];[1.24201663 0.96981964 1.63712545];[6.14080314 3.8941484  8.98552437];5.84
Ccdc115;[0.31475989 1.6173981  8.99140287];[0.31475989 0.22052482 0.44400013];[5.55917735 3.49445554 8.86465894];1.46
Imp4;[ 0.8490246  18.01641689 61.91010339];[0.80657337 0.61662538 1.06909614];[4.054853  2.6054122 5.5514007];2.79
Fam168b;[ 0.3674468   2.23682802 15.4678107 ];[0.3674468  0.2839319  0.48130373];[6.9150648  4.75782672 9.75408018];2.18
Plekhb2;[ 0.33700993  1.03514998 16.63977517];[0.33700993 0.26195455 0.42837238];[16.07474816 11.70670949 22.40168385];4.09
Hs6st1;[ 0.75041416 36.11957085 51.66224108];[0.78793487 0.57564277 1.04178121];[1.3444929  0.99667366 1.95915152];1.05
Uggt1;[  1.23179124  33.66878294 124.60798775];[1.10861211 0.86848908 1.47133711];[3.70099472 3.01114302 4.56958088];4.4
Arid5a;[ 0.06132505 40.06426128 60.83791242];[0.06132505 0.03673946 0.12659755];[1.51850828 0.64953678 3.7120862 ];0.09
Ankrd39;[0.11392636 0.45901847 2.51435238];[2.77555756e-17            nan            nan];[5.47767153        nan        nan];0.5
Cox5b;[  2.89985504 358.71464731 484.21231418];[2.89985504 2.35112597 3.7419992 ];[1.30935814 1.0343286  1.68482819];3.88
Actr1b;[  1.06190189  73.16203241 185.34371864];[1.06190189 0.78669533 1.32351373];[2.53333201 2.00678457 3.20299778];2.65
Tmem131;[  0.79404813 196.4131559  244.70245657];[0.79404813 0.5996128  1.09736012];[1.24585573 0.88230568 1.72585821];0.99
Tsga10;[0.00855815 0.82024874 2.31240927];[6.9388939e-18           nan           nan];[2.81915612        nan        nan];0.02
Lonrf2;[2.55113692e-03 4.14245882e-01 3.72878981e+00];[0.00012756        nan        nan];[9.00139257        nan        nan];0.02
Pdcl3;[  1.67443802  39.11158764 168.92595984];[1.59071612 1.22557051 2.01349415];[4.31907703 3.38105332 5.21512431];6.94
Rnf149;[ 0.65296081 18.00531232 67.08174492];[0.65296081 0.50183265 0.83027801];[3.72566406 2.75453738 5.36382045];2.35
Map4k4;[ 1.02445943  6.83282046 27.53625236];[1.02445943 0.77697725 1.40432108];[4.02999794 2.56766699 6.10826518];3.59
Il1rl1;[ 0.17557447  1.73221951 40.60682844];[0.17557447 0.14052954 0.21871841];[23.44208002 17.33341293 31.90647233];3.74
Il18rap;[4.04047458e-02 9.22931898e+01 1.13627337e+02];[0.04040475 0.02197206 0.09852626];[1.30502562 0.42206765 4.43210913];0.05
Mrps9;[ 0.52673224  3.03998225 23.39223212];[0.52673224 0.41768977 0.6601908 ];[ 7.69485812  5.62722532 10.65580555];3.45
AI597479;[0.54532476 3.93021572 4.42319586];[0.54532476 0.17046506 1.0938278 ];[1.12543336        nan        nan];0.54
Fhl2;[  1.45853871  77.83691784 273.96534689];[1.45853871 1.12013872 1.7880851 ];[3.51973529 2.86429202 4.27457395];5.04
Tpp2;[  0.95198085 242.8352724  439.28570641];[0.95198085 0.75935827 1.23168438];[1.8089864  1.36583142 2.34033238];1.72
Kdelc1;[0.38226762 1.57139805 7.24676281];[0.38226762 0.26308575 0.55392804];[4.61166589 2.76938654 7.56825379];1.42
Ercc5;[5.78816394e-01 1.37658815e+02 6.22409279e+02];[0.57881639 0.4805208  0.70076369];[4.52139066 3.5893427  5.75339156];2.61
Gulp1;[ 0.41075604 13.52820631 21.22171735];[0.43129384 0.26091114 1.325616  ];[1.4745794  0.96204814 2.81859689];0.63
Col3a1;[  0.68061405   4.40926994 153.62316622];[0.61255264        nan        nan];[41.11232444 32.16807894 51.5534746 ];20.54
Col5a2;[   2.01968397   29.08821793 1094.44943729];[ 2.22165237 80.95893085  2.41999689];[37.62518006 32.79622005 43.56502229];71.06
Tmeff2;[0.09515406 0.62612494 6.77954768];[0.09515406 0.05905239 0.14054624];[10.82778737  6.72392593 18.833061  ];0.89
Sdpr;[5.22564285e-01 7.51162784e+01 1.03566256e+03];[0.52256428 0.44662262 0.6154018 ];[13.78745836 11.22293651 17.04550905];7.16
Myo1b;[  0.44036749  80.86853028 101.67926406];[0.46238586 0.31540012 0.63941635];[1.25734032 0.83686826 1.86048913];0.55
Gls;[  0.78917054  38.0256186  174.83509309];[0.78917054 0.6271918  0.96594774];[4.59782377 3.72691258 5.71693644];3.55
Nab1;[  0.62791437 301.31705531 363.14495815];[0.69070581 0.50491815 0.98148874];[1.06056912 0.73168287 1.55704725];0.76
Mfsd6;[9.26784831e-02 1.24873952e+02 1.96633792e+02];[0.09267848 0.0667999  0.13414319];[1.4801787  0.7619152  3.03208346];0.15
Inpp1;[  0.30512907  52.4972511  105.11676175];[0.30512907 0.22486024 0.4212692 ];[2.00232888 1.37525003 2.93592626];0.61
Hibch;[0.4415489  5.81388102 7.33406502];[0.4415489  0.19041372 0.6809522 ];[1.26147491 0.66000236 3.71932358];0.52
Ormdl1;[ 0.25061295 41.94824242 48.70004558];[0.25061295 0.16113492 0.40583398];[1.16095557 0.6768931  1.9757845 ];0.29
Asnsd1;[ 0.53851791 11.73031029 38.22859863];[0.51159202 0.37746971 0.70807273];[3.65003392 2.38815115 5.36335723];1.68
Stk17b;[ 0.25738883  5.554183   18.23909559];[0.25738883 0.17230319 0.37531822];[3.28384851 2.01688146 5.51918225];0.81
Hecw2;[0.04338181 0.7793058  3.09589758];[0.00216909        nan        nan];[3.97263512        nan        nan];0.16
Gtf3c3;[  0.43527973  94.3804584  135.26267479];[0.43527973 0.31640254 0.61760176];[1.43316399 0.97232411 2.09603522];0.62
Ankrd44;[0.28196764 1.75263594 1.92874738];[0.01409838        nan        nan];[1.13349827        nan        nan];0.27
Sf3b1;[1.07629213e+00 1.60793712e+02 1.53299604e+03];[1.07629213 0.91454565 1.25952546];[ 9.53393028  7.9875277  11.58670064];10.19
Coq10b;[ 0.76174463  3.9136658  13.88631662];[0.76174463 0.55616146 1.09280947];[3.54816107 2.13972099 5.60702753];2.26
Hspe1;[1.61814141e+00 2.05679672e+02 1.92506351e+03];[1.69904848 1.4438922  1.91710069];[ 9.07873681  7.71854137 10.65148464];15.03
Rftn2;[0.40236764 5.45031355 8.92445348];[0.40236764 0.23218061 0.41082831];[1.6374202  0.92952456 3.32024559];0.61
Satb2;[ 0.08722603  7.40831748 19.94061731];[0.09158733 0.05839899 0.14692641];[2.69165264 1.37517295 5.03078575];0.23
9130024F11Rik;[ 0.02576621 18.00928532 25.47647339];[ 0.02576621 -0.00046526  0.08102824];[1.41462989        nan        nan];0.04
4930558J18Rik;[0.02934641 1.55699965 3.13919705];[0.00146732        nan        nan];[2.01618354        nan        nan];0.06
1700066M21Rik;[0.15676264 1.20469251 1.46767921];[2.77555756e-17            nan            nan];[1.21830193        nan        nan];0.17
9430016H08Rik;[0.4976951  2.04483807 9.20749323];[0.4976951  0.33377771 0.73750291];[4.50279822 2.56613069 7.84945268];1.8
Sgol2;[0.07767161 0.5148892  2.43141089];[0.00388358        nan        nan];[4.72220219        nan        nan];0.32
Bzw1;[ 1.05462022 13.46597295 83.63808873];[1.00188921 0.79283128 1.26284319];[6.95639741 4.91425765 9.65235049];6.07
Clk1;[ 0.62814786 12.08662491 29.65979545];[0.62814786 0.44089163 0.84920901];[2.45393529 1.67370678 4.05070325];1.47
Ppil3;[ 0.50716219 10.63400104 48.24127523];[0.48180408 0.38167448 0.61793812];[4.53651218 3.29242264 6.76947776];2.2
Orc2;[ 0.48691424  4.32748473 17.75577517];[0.48691424 0.358858   0.67064284];[4.10302434 2.64071324 6.27053025];1.8
Ndufb3;[ 1.12354624  2.12603496 10.64573861];[1.12354624 0.78546805 1.65816717];[5.00732057 2.66499272 8.8001145 ];3.68
Casp8;[0.5121262  2.28012994 6.52369767];[0.5121262  0.31974165 0.82604245];[2.86110785 1.46508398 5.44378369];1.2
Trak2;[ 0.64435653 26.80984166 35.4488577 ];[0.67657436 0.42479886 0.95883426];[1.32223301 0.86963534 2.35672041];0.83
Stradb;[ 0.22282997  5.02798538 10.97939911];[0.22282997 0.12673227 0.35875967];[2.18365773 1.22033335 4.34479734];0.47
Cdk15;[3.23348503e-02 2.41791722e+01 1.06188167e+02];[0.03233485 0.01970999 0.05921265];[ 4.52347216  2.15604374 10.88306985];0.14
Fzd7;[ 0.22965811  0.65461054 11.25412665];[0.22965811 0.16633135 0.31764861];[17.19209505 11.06055982 26.05168291];2.92
Nop58;[ 1.05659374 14.09923734 79.72319418];[1.05659374 0.84267079 1.33298048];[5.65443309 4.19920532 7.83676968];5.56
Bmpr2;[0.11782863 0.41598706 6.47999271];[0.11782863 0.06552167 0.18221489];[15.57739011  9.14674459 30.81837362];1.43
Fam117b;[0.11055467 0.25244113 1.54866464];[0.00552773        nan        nan];[6.13475568        nan        nan];0.47
Wdr12;[ 0.77379506  4.86463854 15.40979145];[0.77379506 0.56493916 1.11084901];[3.16771561 1.93176403 4.99365486];2.11
Raph1;[0.29887436 3.20553968 8.81069019];[0.29887436 0.18562479 0.4804987 ];[2.74858247 1.52890075 5.03293881];0.75
Nrp2;[ 0.72899856 13.75764831 83.57661465];[0.72899856 0.58612491 0.90149624];[6.07492013 4.7263956  8.28598963];4.21
Ino80d;[  0.64940203 170.01025236 215.95228983];[0.68187213 0.49417835 0.93764232];[1.23212405 0.84664263 1.73093821];0.82
Eef1b2;[ 0.19210471  0.50029366 67.44197657];[0.19210471 0.13313873 0.26952523];[134.80478085  87.54605266 213.77401938];18.71
Gpr1;[1.89495244e-02 1.79767104e+01 5.59119134e+01];[0.01894952 0.00828208 0.0443739 ];[ 3.01693439  1.07111523 11.14915989];0.06
Adam23;[  0.42462326 110.35932924 197.69826189];[0.42462326 0.31937397 0.59954744];[1.73766292 1.22006605 2.55034956];0.76
Klf7;[0.26279859 1.42092884 8.64610796];[0.26279859 0.18721436 0.37037406];[6.08482828 3.86968212 9.36785359];1.35
Creb1;[ 0.2844392   6.71857188 27.14127242];[0.2844392  0.19696868 0.40630517];[4.03973834 2.55024032 6.56338733];1.1
2810408I11Rik;[0.03259766 0.27967169 3.65887213];[0.03259766 0.00656172 0.06518072];[13.0827403        nan        nan];0.38
Fzd5;[0.25267165 7.32285773 9.26549992];[0.27793882 0.1385588  0.44252353];[1.18936763 0.65910748 2.63217439];0.31
Plekhm3;[0.30785542 4.07266776 4.98799477];[0.32324819 0.09352311 0.64807909];[1.11452137        nan        nan];0.35
Acadl;[  0.90293961  91.81560444 206.98694446];[0.90293961 0.73056925 1.1487444 ];[2.25437654 1.75333977 2.88285539];2.02
Lancl1;[0.66477552 3.58694883 6.81973421];[0.66477552 0.38211088 1.1384296 ];[1.90126331 0.9285925  4.14184648];1.07
Atic;[  1.10639239 156.60295565 288.38755358];[1.16171201 0.93660452 1.51621384];[1.67578366 1.31010295 2.20110147];2.02
Fn1;[   1.2508527    24.59100348 1133.56476384];[1.2508527  1.07957759 1.36024275];[44.71382479 39.09674091 45.94001286];54.87
Pecr;[0.15266734 0.98297396 4.54298951];[0.15266734 0.08732594 0.24602086];[4.6216784  2.57159824 8.85141674];0.61
Xrcc5;[ 0.45827363  1.37556657 11.09325941];[0.45827363 0.35564652 0.59272229];[ 8.06450202  5.63936814 11.36533956];2.77
Igfbp2;[3.00223405e-02 4.97363735e+00 2.91549311e+02];[0.03002234 0.02149753 0.04083835];[ 58.61893228  34.50993803 111.6597958 ];1.75
Tns1;[6.24902667e-01 9.57420505e+01 6.35521031e+02];[0.62490267 0.52887972 0.73922603];[6.63784646 5.41684438 8.24286491];4.12
Arpc2;[ 0.0880175   0.78641559 42.3199161 ];[0.0880175  0.0533627  0.13868847];[ 53.81367916  30.00123266 100.38791147];4.26
Aamp;[ 0.92820797  3.67707283 53.70299889];[0.92820797 0.7812013  1.10838448];[14.60482329 11.34776574 18.62798799];10.82
Pnkd;[ 0.05581315  0.90781257 30.14290575];[0.05581315 0.02669831 0.10880313];[33.20388674 13.08847319 87.649066  ];1.75
Tmbim1;[  1.18087036 160.71287499 402.9818445 ];[1.18087036 0.96642372 1.46537429];[2.5074646  2.0096161  3.15509149];2.94
Zfp142;[0.15953732 1.88045699 7.45031116];[0.15953732 0.10198686 0.25054575];[3.96196839 2.25525448 6.78922785];0.58
Rnf25;[  0.65681135 103.98146047 135.9022769 ];[0.65681135 0.50004997 0.93831215];[1.26777608 0.89799917 1.77408464];0.85
Stk36;[0.09519859 0.60673997 1.02513581];[0.00475993        nan        nan];[1.68958015        nan        nan];0.14
Cyp27a1;[0.02396599 0.68632338 2.82349596];[0.0011983       nan       nan];[4.113944      nan      nan];0.1
Zfand2b;[  0.44740456 105.47778872 156.13183384];[0.44740456 0.32930222 0.63155534];[1.48023423 1.00474484 2.1296638 ];0.66
Abcb6;[ 0.3982304  59.66722683 84.17939291];[0.3982304  0.28834018 0.57335458];[1.36849013 0.93676174 2.06179973];0.56
Stk16;[ 1.08407974 14.64107672 43.18692959];[1.08407974 0.80950513 1.43710238];[2.94970994 2.10089014 4.55238037];2.98
Dnajb2;[ 0.43542673  5.69918553 15.69823855];[0.45719807 0.31009678 0.63472156];[2.58920229 1.73106045 4.32064735];1.11
Ptprn;[ 0.76756314  6.68964429 19.11678511];[0.76756314 0.55308163 1.08130925];[2.8576684  1.80283278 4.57385373];1.97
Dnpep;[  1.50659735 204.11690788 846.16560111];[1.50659735 1.27477018 1.78801348];[4.1454949  3.44244471 5.01463607];6.2
Des;[0.00512334 0.415213   3.72799015];[8.67361738e-19            nan            nan];[8.97850063        nan        nan];0.05
Speg;[3.97246226e-01 1.43821107e+02 4.61850661e+02];[0.41710854 0.33214004 0.52091323];[3.01860852 2.28774157 4.12072509];1.27
Gmppa;[ 1.38788976 17.34021035 40.1722593 ];[1.38788976 0.98239323 1.87563559];[2.31671119 1.58393838 4.00842418];2.98
Chpf;[ 1.11671442  1.71604779 28.83650158];[1.11671442 0.91231978 1.36923761];[16.80402015 12.35457711 22.58525585];11.37
Obsl1;[ 0.16015506  3.64177669 12.98473116];[0.16015506 0.1039262  0.24139922];[3.56549351 2.1820207  6.09408034];0.55
Tmem198;[ 0.03540177 16.54707254 19.10075473];[0.03540177 0.01155371 0.11219834];[1.15432834 0.31485012 4.37516103];0.04
Slc4a3;[0.21351917 0.85211588 1.08408302];[0.21351917 0.0447138  0.94865355];[1.27222488        nan        nan];0.22
Epha4;[ 0.13681438  5.51168643 13.84203177];[0.13681438 0.07841027 0.21738637];[2.51139682 1.45090716 4.90164448];0.34
Pax3;[0.01202395 0.76954579 4.45807421];[1.73472348e-18            nan            nan];[5.79312405        nan        nan];0.07
Farsb;[  0.98085418  78.65210047 281.82787362];[1.02989689 0.84439604 1.24274555];[3.36822793 2.7353967  4.24488783];3.47
Wdfy1;[0.30714419 1.23344349 4.86036441];[0.30714419 0.18674294 0.48188334];[3.94048408 2.17465431 7.39020186];0.97
Mrpl44;[ 0.55545543 45.04310112 75.22765241];[0.41659157 0.18975584 0.71781251];[1.67012596 1.18095078 2.36324822];0.92
Serpine2;[ 0.52780332  2.43031291 32.31975015];[0.52780332 0.43930085 0.64052064];[13.29859623 10.03729637 17.34427819];5.77
Cul3;[0.13206477 0.48619202 8.19584878];[0.13206477 0.08063949 0.20693152];[16.85722613  9.56795855 30.42575619];1.75
Irs1;[ 0.50331791  6.66418965 16.42228451];[0.50331791 0.34595552 0.72473952];[2.46425828 1.57467417 4.1013191 ];1.15
Rhbdd1;[  0.67698242  91.78570887 152.90629175];[0.67698242 0.51859404 0.89724467];[1.66590522 1.21880944 2.27014844];1.12
Ccl20;[9.58499500e-03 1.01203611e+00 2.03441893e+02];[0.00910575 0.0056424  0.01422466];[261.32907597 103.91170754 509.69576382];1.91
Pid1;[ 0.18322367  3.64652608 11.80169134];[0.18322367 0.11552484 0.27861775];[3.23642039 1.84658258 5.71814326];0.56
Trip12;[ 0.74416194  3.90820594 24.17175785];[0.74416194 0.58163184 0.97263697];[6.18487312 4.15273795 8.7336724 ];3.87
Fbxo36;[0.17066454 1.77757725 5.72151533];[0.17066454 0.09993133 0.28421622];[3.21871543 1.71124579 6.0602322 ];0.5
Cab39;[ 0.67490954 53.4244166  98.44641388];[0.70865502 0.51741299 0.90318178];[1.84272324 1.344409   2.52567298];1.23
Itm2c;[  1.9031962  108.83508239 568.59605036];[1.9031962  1.52186167 2.28086444];[5.22438205 4.40180826 6.234468  ];9.77
Psmd1;[ 0.83424149  1.52707421 31.0932307 ];[0.83424149 0.68412036 1.01461802];[20.3613095  15.360693   26.93809466];10.99
Htr2b;[3.71876216e-02 1.86847790e+01 4.97460322e+01];[0.039047   0.02176916 0.07578332];[2.50263974 1.11131342 6.24014352];0.1
Armc9;[ 0.2167397  14.25444684 19.18805697];[0.2167397  0.17440504 0.36224847];[1.34611025 0.75587895 2.39724159];0.29
Ncl;[  1.05226216  17.54082795 409.74434431];[0.99964905 0.834725   1.1643617 ];[23.3594643  19.94709626 27.5900696 ];23.19
Cops7b;[ 0.39989542  5.09508597 10.31232412];[0.39989542 0.24403669 0.62997807];[2.02397451 1.18444416 3.84846593];0.75
Dis3l2;[3.69863818e-02 3.05257107e+01 4.53213447e+01];[0.04068502 0.01462099 0.10686892];[1.30653087 0.42409579 4.4526049 ];0.05
Eif4e2;[  0.71208279  11.89697244 121.54103968];[0.67647865 0.55470084 0.81532886];[12.3615196   8.64648844 15.28213293];6.86
Gigyf2;[0.4213182  1.52340865 6.25087069];[0.4213182  0.27268725 0.64003203];[4.10321334 2.29888445 7.3395803 ];1.35
Atg16l1;[0.26737128 0.77364032 4.76640034];[0.26737128 0.1681613  0.40438434];[ 6.16100298  3.60529267 10.99098406];1.22
Dgkd;[ 0.41153502 13.26395212 19.65499947];[0.43211177 0.22992983 0.64470674];[1.48183583 0.90745993 3.15648746];0.59
Ugt1a7c;[ 0.40853593 74.88582652 89.24678316];[0.40853593 0.28592141 0.60778735];[1.19177136 0.76753262 1.81806365];0.48
Arl4c;[ 0.24510904  2.57473747 23.26608363];[0.24510904 0.19047643 0.31850381];[ 9.03629356  6.29765445 12.70068226];2.02
Cops8;[ 0.97846672  2.7297027  12.94407694];[0.97846672 0.66057349 1.43422665];[4.74193653 2.57579386 8.81535203];3.42
Col6a3;[  0.64465837   8.88955628 169.04041878];[0.61242545        nan        nan];[19.01561939 15.95283876 22.89785029];11.43
Lrrfip1;[ 0.98930216  4.31864623 39.36792529];[0.98930216 0.807169   1.23370608];[ 9.11580232  6.45912747 12.25734803];7.34
Ramp1;[2.33659347e-02 3.80988182e+00 4.32073572e+01];[0.02570253 0.01563593 0.03736383];[11.34086549  5.11167427 25.48977334];0.26
Ube2f;[ 0.8700892   3.25698494 17.30869725];[0.8700892  0.64365564 1.18447278];[5.31433137 3.28918218 8.41735725];3.65
Scly;[0.20809226 1.10544176 2.63840286];[0.01040461        nan        nan];[2.38674071        nan        nan];0.42
Ilkap;[0.45478731 1.57166666 5.25088628];[0.45478731 0.274644   0.73899339];[3.3409669  1.69055917 6.56296623];1.18
Asb1;[  0.19451006  73.99977508 119.87647299];[0.19451006 0.11106211 0.29959243];[1.61995726 0.98355824 2.72725937];0.31
Twist2;[  0.57372422 137.20137952 335.93177342];[0.57372422 0.45195478 0.72878416];[2.44845769 1.84097625 3.23802623];1.4
Hdac4;[ 0.30584938  7.19666493 24.54610183];[0.30584938 0.21014334 0.42938032];[3.41076069 2.17770587 5.59860458];1
Ndufa10;[  1.35687798  13.62253665 134.93148091];[1.35687798 1.13273655 1.65124116];[ 9.90501875  7.58398868 12.95546407];12.22
Gpc1;[ 0.85403466  8.97302131 56.04957898];[0.85403466 0.67860411 1.08471146];[6.24645558 4.58654893 8.85717114];4.87
Rnpepl1;[  0.53427062 200.16680477 208.75429642];[0.53427062 0.37745671 0.78209339];[1.04290168 0.68771558 1.55759912];0.56
Capn10;[2.05869246e-01 1.25240388e+02 2.89011238e+02];[0.21616271 0.16948135 0.30836894];[2.09996336 1.35150304 3.2602811 ];0.47
Gpr35;[ 0.0652502  10.74162713 20.18602433];[0.0652502  0.03594737 0.1224352 ];[1.87923339 0.87807835 5.63683983];0.12
Kif1a;[ 0.08572856  1.44792268 18.30279291];[0.08572856 0.06296523 0.11592081];[12.6407253   8.52169577 18.85758284];1.02
Agxt;[2.40279875e-03 4.49177599e-01 5.20344588e+00];[4.33680869e-19            nan            nan];[11.5843842        nan        nan];0.03
Sned1;[  0.20807508  94.64356697 127.70354884];[0.20807508 0.1380886  0.32889988];[1.3493104  0.79872636 2.31617906];0.28
Pask;[0.10851245 7.53040657 8.40942769];[0.00542562        nan        nan];[1.11672957        nan        nan];0.12
Ppp1r7;[ 0.64448081 29.14389301 76.99867219];[0.67670485 0.52515585 0.83886684];[2.64201739 1.92770855 3.48062062];1.67
Hdlbp;[ 1.35982662  5.09871183 55.58814003];[1.35982662 1.12513243 1.67275918];[10.90238906  7.88016468 14.56540808];11.7
2-sep;[  4.80995463 370.2464904  442.21870997];[4.80995463 3.02418354 6.40338556];[1.15855831 0.89850706 1.51250542];5.67
Farp2;[  0.24883496  45.97511172 172.2364604 ];[0.2612767  0.19205405 0.34587585];[3.52151994 2.46325223 5.307518  ];0.93
Stk25;[  0.96159159  98.84317402 255.54856522];[0.96159159 0.77959491 1.19336525];[2.58539416 2.03029914 3.29189347];2.46
Bok;[  0.7144419  121.66117508 447.40128836];[0.7144419  0.59563632 0.86328291];[3.67743685 2.94493998 4.62143893];2.61
Thap4;[ 0.89830705  9.29646607 12.12841724];[0.89830705 0.52948482 1.41100205];[1.30462663 0.74643    2.80933   ];1.07
Dtymk;[ 0.65246827  2.63635324 38.29762773];[0.65246827 0.54024448 0.7896824 ];[14.52674367 11.15088651 18.99829597];7.6
Fam174a;[0.57802282 2.02447147 7.20645215];[0.57802282 0.40251049 0.85399833];[3.55967088 2.02172066 5.87167496];1.6
D1Ertd622e;[0.09096983 0.20137789 1.715568  ];[0.00454849        nan        nan];[8.51914786        nan        nan];0.53
Gin1;[1.95984966e-01 1.30538783e+02 2.08319490e+02];[0.19598497 0.13955408 0.29650268];[1.59584367 0.97915739 2.63941597];0.31
Pam;[0.46822616 3.04213815 9.01140522];[0.46822616 0.30819515 0.72899345];[2.9621946  1.65557802 5.21291979];1.2
Pign;[ 0.20259581  4.36524506 10.85954178];[0.21272561 0.12340822 0.3284796 ];[2.41309603 1.37258361 4.5596452 ];0.48
Zcchc2;[ 0.31019875 30.23470581 55.51009764];[0.32570869 0.22276857 0.44584909];[1.83597281 1.22789172 2.76977154];0.56
Vps4b;[  0.86366711 122.1691068  300.52023083];[0.86366711 0.69674636 1.09005728];[2.4598709  1.89188952 3.14906887];2.11
Serpinb8;[ 0.05481426  9.4472798  14.19042691];[0.05481426 0.02671198 0.12082216];[1.50206485        nan        nan];0.08
Dsel;[ 0.55893294 13.50833001 16.4614048 ];[0.50303964 0.21499663 0.86953139];[1.36484476 0.74557329 4.38263262];0.65
Tsn;[ 1.61181808 19.13476841 57.72570472];[1.61181808 1.18482401 2.11336432];[3.01679662 2.12175725 4.97712783];4.48
Clasp1;[ 1.12874386 41.00333806 45.38782556];[1.12874386 0.86587619 1.61391526];[1.00730631 0.75067621 1.71979455];1.22
Gli2;[0.02959384 0.73064152 1.92931687];[2.42861287e-17            nan            nan];[2.64057932        nan        nan];0.08
Inhbb;[ 0.38920824  8.23414425 74.34794539];[0.38920824 0.31699092 0.47760554];[ 9.02922552  7.15950161 11.545371  ];3.36
